b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y
minorityInterest_x,44803000.0,27817000.0,18732000.0,10297000.0,117253000.0,17620000.0,39449000.0,16922000.0,-177153000.0,9789000.0,940709000.0,36233000.0,47962000.0,53330000.0,34223000.0,24909000.0,29513000.0,32165000.0,20214000.0,11634000.0,-32963000.0,10078000.0,8783000.0,8744000.0,-5888000.0,601000.0,9557000.0,-6362000.0,-13060000.0,5661000.0,-3240000.0,-7852000.0,32525000.0,-15748000.0,-15241000.0,5549000.0,35598000.0,1166000.0,-3434000.0,462000.0,-7896000.0,4812000.0,,
cash,6633416000.0,9938865000.0,10046076000.0,9627937000.0,10183019000.0,9222646000.0,4108414000.0,6603298000.0,6594143000.0,7675218000.0,7893916000.0,5551412000.0,6195431000.0,5353829000.0,6299733000.0,6671351000.0,7085796000.0,5754886000.0,6372995000.0,7222376000.0,5992935000.0,5863175000.0,3731763000.0,2497075000.0,2652565000.0,4061696000.0,2643423000.0,2908962000.0,1436246000.0,3421724000.0,5169099000.0,2904688000.0,2086659000.0,3402351000.0,4690354000.0,,3152365000.0,1806102000.0,2797693000.0,2819669000.0,4543038000.0,4694976000.0,4251614000.0,5118712000.0
RestrictedCash,15624000.0,17048000.0,26321000.0,315163000.0,17049000.0,11374000.0,17815000.0,11905000.0,208756000.0,11068000.0,16018000.0,1214000.0,29405000.0,4066000.0,335417000.0,548253000.0,1219695000.0,1439980000.0,507492000.0,1580177000.0,1028550000.0,1814299000.0,398710000.0,1657102000.0,3325850000.0,3635069000.0,4983280000.0,6810590000.0,8416977000.0,6864082000.0,4586564000.0,5199113000.0,4170767000.0,5329719000.0,6641747000.0,,4193616000.0,4872882000.0,4445902000.0,2226649000.0,2204414000.0,2589443000.0,3042410000.0,2639776000.0
FinancialAssetsAvailableForSale,,,,,,,,,,,,0.0,1027293000.0,1607078000.0,1065663000.0,798843000.0,648843000.0,425445000.0,380020000.0,275020000.0,275255000.0,271935000.0,1417328000.0,1000143000.0,788437000.0,232634000.0,301682000.0,189356000.0,130300000.0,115300000.0,115300000.0,15300000.0,15300000.0,15300000.0,15300000.0,,15300000.0,15300000.0,15300000.0,15300000.0,15300000.0,15300000.0,15300000.0,15300000.0
FinancialAssetsHeldToMaturity,,,,,,,,,,,,0.0,7573617000.0,8242624000.0,5976850000.0,4769614000.0,5296709000.0,4525803000.0,6068675000.0,5803442000.0,4944342000.0,5472531000.0,5399915000.0,6266663000.0,5278932000.0,7751480000.0,8621260000.0,6043269000.0,7832661000.0,6383031000.0,7719231000.0,7231777000.0,7486810000.0,7658030000.0,5870030000.0,,6558090000.0,4753100000.0,5853850000.0,6210487000.0,5190441000.0,3311100000.0,2279600000.0,1919729000.0
DerivativeFinancialInstruments,89589000.0,25600000.0,8267000.0,0.0,1317000.0,54047000.0,3934000.0,676000.0,,,,,,5045000.0,25000.0,8047000.0,36371000.0,7371000.0,19843000.0,29076000.0,60603000.0,81124000.0,45050000.0,17870000.0,2620000.0,3212000.0,1343000.0,5998000.0,3461000.0,2360000.0,3068000.0,2380000.0,70046000.0,150255000.0,161065000.0,,123953000.0,240345000.0,144263000.0,1990000.0,304012000.0,26300000.0,251081000.0,154588000.0
TradeAndOtherReceivables,3633463000.0,3497610000.0,3576820000.0,4632311000.0,4680344000.0,4217623000.0,4222516000.0,4725658000.0,5050978000.0,4605594000.0,5434195000.0,5387311000.0,5290056000.0,4460084000.0,4301920000.0,5115176000.0,5346997000.0,4822379000.0,5226851000.0,5324636000.0,6196534000.0,6098076000.0,6652210000.0,6720220000.0,6721164000.0,7497310000.0,6748334000.0,9513989000.0,6879288000.0,5147962000.0,5378570000.0,6510535000.0,5814202000.0,5993156000.0,6876681000.0,,7594902000.0,8366724000.0,6695335000.0,-877925000.0,,,,
inventory,1677846000.0,1468691000.0,1384315000.0,1484862000.0,1597950000.0,2043215000.0,2317615000.0,2584224000.0,2605707000.0,2370619000.0,2031841000.0,2745097000.0,2628201000.0,1874446000.0,1861755000.0,1659198000.0,2032459000.0,2129306000.0,2001402000.0,1608631000.0,1612875000.0,1338400000.0,1404215000.0,1243608000.0,2015098000.0,2046959000.0,1734676000.0,1262988000.0,1463064000.0,1314666000.0,1274965000.0,368647000.0,984935000.0,1137980000.0,1127197000.0,,1654002000.0,1205936000.0,948556000.0,1086417000.0,1276892000.0,787968000.0,427447000.0,871954000.0
propertyPlantEquipment,5226004000.0,5583150000.0,5617859000.0,5709138000.0,5678063000.0,5773095000.0,5251193000.0,5168937000.0,5162755000.0,5160503000.0,5202038000.0,4652987000.0,4820729000.0,4902036000.0,5210998000.0,5358717000.0,5476950000.0,6051930000.0,6510922000.0,6293247000.0,6401967000.0,6605747000.0,6325530000.0,6387915000.0,6116517000.0,5854269000.0,5811017000.0,5849878000.0,5793041000.0,4568750000.0,4447258000.0,4300006000.0,4276704000.0,4070371000.0,4023993000.0,,3822124000.0,3183182000.0,2731349000.0,2662579000.0,2629809000.0,2192943000.0,1931429000.0,1935390000.0
LeasePrepayments,952487000.0,957811000.0,963047000.0,968282000.0,973518000.0,975457000.0,957969000.0,963065000.0,970610000.0,973141000.0,978117000.0,983157000.0,990795000.0,993300000.0,1067999000.0,1073041000.0,1080656000.0,1091921000.0,1097195000.0,1102469000.0,1111368000.0,1114283000.0,1120013000.0,1125059000.0,1132687000.0,1119874000.0,1124950000.0,1067719000.0,1090535000.0,1151535000.0,1155009000.0,1162217000.0,1167153000.0,972329000.0,938108000.0,,886074000.0,771599000.0,746349000.0,600890000.0,568948000.0,445627000.0,378385000.0,380381000.0
intangibleAssets,22154000.0,29204000.0,24915000.0,25239000.0,25927000.0,17958000.0,17501000.0,17363000.0,17527000.0,27245000.0,38191000.0,17500000.0,9864000.0,7455000.0,7479000.0,7699000.0,7906000.0,6782000.0,2122000.0,2191000.0,2260000.0,2340000.0,2444000.0,2365000.0,2402000.0,56000.0,58000.0,77000.0,95000.0,214000.0,226000.0,239000.0,228000.0,1462000.0,1487000.0,,321000.0,450000.0,253000.0,295000.0,336000.0,618000.0,273000.0,308000.0
InvestmentInAssociatedCompanies,1181393000.0,1063543000.0,1143178000.0,1161205000.0,1389518000.0,1409729000.0,1455591000.0,1500549000.0,1454006000.0,1358959000.0,1405913000.0,1218488000.0,1394702000.0,1182973000.0,1163997000.0,956356000.0,882622000.0,702912000.0,886562000.0,1010364000.0,1086638000.0,674322000.0,622230000.0,452211000.0,463468000.0,,,471083000.0,257472000.0,,,275675000.0,288397000.0,,,,300046000.0,341174000.0,320940000.0,383323000.0,212839000.0,191629000.0,191317000.0,173140000.0
deferredLongTermAssetCharges,709463000.0,635144000.0,673261000.0,637578000.0,647328000.0,620920000.0,646753000.0,706958000.0,692207000.0,672057000.0,672993000.0,625438000.0,660291000.0,485840000.0,486470000.0,488170000.0,488170000.0,400716000.0,333774000.0,333774000.0,333774000.0,262407000.0,272645000.0,284648000.0,274866000.0,271927000.0,275544000.0,294612000.0,282045000.0,391243000.0,383580000.0,361990000.0,339064000.0,215813000.0,212844000.0,,170197000.0,109262000.0,82494000.0,72598000.0,70560000.0,58942000.0,69202000.0,39805000.0
totalAssets,44910661000.0,45844954000.0,46487269000.0,46094713000.0,45756122000.0,45325009000.0,44993754000.0,45227160000.0,46085137000.0,43281266000.0,42862958000.0,42511497000.0,43372653000.0,39355956000.0,39308369000.0,39098526000.0,41234183000.0,39714011000.0,40980620000.0,41917736000.0,41246062000.0,39913137000.0,40368304000.0,40370278000.0,40777982000.0,43760587000.0,42865486000.0,47497168000.0,43211180000.0,38411836000.0,37713509000.0,35132519000.0,33202298000.0,34008984000.0,34509168000.0,,33739004000.0,31970025000.0,29716365000.0,26342611000.0,26175772000.0,23709847000.0,20804067000.0,21311330000.0
TradeAndOtherPayables,2698570000.0,3121101000.0,,,,,,,4707550000.0,4724984000.0,4687245000.0,4876364000.0,5859041000.0,4688331000.0,5284361000.0,5296893000.0,4905859000.0,4527896000.0,5061257000.0,5929835000.0,5042007000.0,4144492000.0,5509091000.0,,-173766000.0,,,,2301340000.0,,,556983000.0,3218656000.0,,,,3499872000.0,1016120000.0,-555748000.0,-906809000.0,,,,
Provisions,938254000.0,795436000.0,868752000.0,942197000.0,970126000.0,1028395000.0,1175119000.0,1413254000.0,321492000.0,309721000.0,363283000.0,352512000.0,371993000.0,402766000.0,420986000.0,475353000.0,488633000.0,503620000.0,536428000.0,570190000.0,577862000.0,743744000.0,703934000.0,652064000.0,-69883000.0,923791000.0,770263000.0,711380000.0,670215000.0,873932000.0,821456000.0,762628000.0,726700000.0,826160000.0,797178000.0,,624252000.0,595712000.0,535103000.0,480755000.0,-496744000.0,75475000.0,,211808000.0
CurrentIncomeTaxLiabilities,972982000.0,1043862000.0,1069585000.0,1128771000.0,1289383000.0,1146735000.0,1253328000.0,1328689000.0,1343444000.0,1180355000.0,1180838000.0,1073735000.0,1203376000.0,803530000.0,859065000.0,956713000.0,1130020000.0,925070000.0,786767000.0,967132000.0,762927000.0,576072000.0,520114000.0,572562000.0,,487156000.0,353700000.0,661117000.0,683211000.0,652009000.0,551026000.0,483555000.0,531853000.0,538563000.0,451881000.0,,374295000.0,166987000.0,141185000.0,174897000.0,-172466000.0,170134000.0,55923000.0,174783000.0
longTermDebt,2120550000.0,3934910000.0,4161746000.0,3983925000.0,2782310000.0,1246606000.0,1552185000.0,1382764000.0,1149001000.0,1308610000.0,1346537000.0,1616394000.0,2531973000.0,3886024000.0,5196063000.0,1351871000.0,2579435000.0,1435477000.0,1747318000.0,2579600000.0,2208565000.0,2518446000.0,3927710000.0,4895883000.0,,9494871000.0,10515216000.0,11099862000.0,12240614000.0,8272319000.0,6377752000.0,4710548000.0,3199876000.0,4907728000.0,6062382000.0,,6044001000.0,3965515000.0,3983745000.0,,-906450000.0,876053000.0,729206000.0,1202285000.0
otherLiab,1447808000.0,1391560000.0,1334602000.0,1246248000.0,1260191000.0,1214479000.0,1186223000.0,1128998000.0,1067678000.0,1037626000.0,1034617000.0,959961000.0,921549000.0,1140139000.0,1103988000.0,1073370000.0,1037999000.0,948825000.0,912254000.0,899047000.0,997593000.0,1244199000.0,1223988000.0,1180076000.0,,1081015000.0,1036205000.0,954018000.0,908148000.0,734871000.0,681799000.0,659674000.0,575016000.0,557318000.0,634908000.0,,419345000.0,586431000.0,518510000.0,438273000.0,-386978000.0,302049000.0,273296000.0,202673000.0
totalLiab,11534146000.0,12990933000.0,14095595000.0,13609904000.0,13701597000.0,14215284000.0,14570101000.0,14814839000.0,16504880000.0,15050166000.0,15341022000.0,15363434000.0,16855956000.0,13579167000.0,15428033000.0,15206838000.0,18035074000.0,17103148000.0,18682763000.0,19099144000.0,18887081000.0,17561355000.0,18598812000.0,18622747000.0,,23468556000.0,23470553000.0,28394002000.0,24938298000.0,20867334000.0,20885409000.0,18176955000.0,16934611000.0,18615577000.0,20146445000.0,,20022348000.0,19212841000.0,18252617000.0,15176159000.0,-16097295000.0,14886722000.0,13634702000.0,14414763000.0
NetAssets,33376515000.0,32854021000.0,32391674000.0,32484809000.0,32054525000.0,31109725000.0,30423653000.0,30412321000.0,29580257000.0,28231100000.0,27521936000.0,27148063000.0,26516697000.0,25776789000.0,23880336000.0,23891688000.0,23199109000.0,22610863000.0,22297857000.0,22818592000.0,22358981000.0,22351782000.0,21769492000.0,21747531000.0,,20292031000.0,19394933000.0,19103166000.0,18272882000.0,17544502000.0,16828100000.0,16955564000.0,16267687000.0,15393407000.0,14362723000.0,,13716656000.0,12757184000.0,11463748000.0,11166452000.0,10078477000.0,8823125000.0,7169365000.0,6896567000.0
commonStock,7361990000.0,7361990000.0,7361990000.0,,7361990000.0,7361990000.0,,,7361990000.0,7361990000.0,7361990000.0,7361990000.0,7361990000.0,7361989000.0,6354096000.0,6354096000.0,6354096000.0,6354096000.0,6354096000.0,,6263016000.0,,,6263016000.0,,6263016000.0,6263016000.0,6263016000.0,6354096000.0,6354096000.0,6354096000.0,6354096000.0,6263016000.0,6263016000.0,6263016000.0,,6263016000.0,6263016000.0,6263016000.0,6263016000.0,-6263016000.0,5754855000.0,,
TreasuryShares,-560443000.0,-326578000.0,-250121000.0,,-250121000.0,-240403000.0,,,-122362000.0,-122362000.0,-79503000.0,-20979000.0,-20979000.0,-20979000.0,-20979000.0,-20979000.0,-20979000.0,-20979000.0,-20979000.0,,-20979000.0,,,-20979000.0,,-20979000.0,-20979000.0,-20979000.0,-20979000.0,-20979000.0,-20979000.0,-20979000.0,-20979000.0,-20979000.0,-20979000.0,,-20979000.0,-610000.0,-610000.0,-610000.0,610000.0,-610000.0,,
OtherReserves,1494732000.0,1476360000.0,1503413000.0,,1347796000.0,1289047000.0,,,938173000.0,837598000.0,753737000.0,621223000.0,568680000.0,505976000.0,458867000.0,406286000.0,324938000.0,261759000.0,205026000.0,,195862000.0,,,16179000.0,,-287887000.0,-374210000.0,-715434000.0,-689322000.0,-799050000.0,-915991000.0,-1010843000.0,-1102810000.0,-1285056000.0,-1384654000.0,,-1580614000.0,-1713700000.0,-1843990000.0,-1899034000.0,2014268000.0,-2102795000.0,,
retainedEarnings,24046076000.0,23350316000.0,22793984000.0,,22635966000.0,21870565000.0,,,20701800000.0,19262928000.0,18545003000.0,18497610000.0,17975023000.0,17344590000.0,16522077000.0,16620233000.0,16033911000.0,15532433000.0,15308325000.0,,15361490000.0,,,14877954000.0,,13739245000.0,13014377000.0,12873391000.0,12157014000.0,11522569000.0,10796819000.0,11015895000.0,10370964000.0,9745582000.0,8967935000.0,,8312583000.0,7380250000.0,6484682000.0,6519742000.0,-5680116000.0,4935398000.0,,
totalStockholderEquity,33376515000.0,32854021000.0,32391674000.0,,32054525000.0,31109725000.0,,,29580257000.0,28231100000.0,27521936000.0,27148063000.0,26516697000.0,25776789000.0,23880336000.0,23891688000.0,23199109000.0,22610863000.0,22297857000.0,,22358981000.0,,,21747531000.0,,20292031000.0,19394933000.0,19103166000.0,18272881000.0,17544502000.0,16828100000.0,16955564000.0,16267687000.0,15393407000.0,14362723000.0,,13716656000.0,12757184000.0,11463748000.0,11166452000.0,-10078477000.0,8823125000.0,,
date,2021-02-25,2020-11-05,2020-08-05,2020-04-25,2020-02-25,2019-11-05,2019-08-05,2019-04-25,2019-02-25,2018-11-05,2018-08-05,2018-04-25,2018-02-25,2017-11-05,2017-08-05,2017-04-25,2017-02-25,2016-11-05,2016-08-05,2016-04-25,2016-02-25,2015-11-05,2015-08-05,2015-04-25,2015-02-25,2014-11-05,2014-08-05,2014-04-25,2014-02-25,2013-11-05,2013-08-05,2013-04-25,2013-02-25,2012-11-05,2012-08-05,2012-04-25,2012-02-25,2011-11-05,2011-08-05,2011-04-25,2011-02-25,2010-11-05,2010-08-05,2010-04-25
